game_week,week_day,date,team,opponent,team_xg,opponent_xg,season,game_id,time,team_goals,opponent_goals,fpl_game_week,team_elo,opponent_elo,team_goals_scored_xg_3game_form,team_goals_conceded_xg_3game_form,opponent_goals_scored_xg_3game_form,opponent_goals_conceded_xg_3game_form,team_goals_scored_actual_3game_form,team_goals_conceded_actual_3game_form,opponent_goals_scored_actual_3game_form,opponent_goals_conceded_actual_3game_form,team_goals_scored_xg_5game_form,team_goals_conceded_xg_5game_form,opponent_goals_scored_xg_5game_form,opponent_goals_conceded_xg_5game_form,team_goals_scored_actual_5game_form,team_goals_conceded_actual_5game_form,opponent_goals_scored_actual_5game_form,opponent_goals_conceded_actual_5game_form,team_goals_scored_xg_10game_form,team_goals_conceded_xg_10game_form,opponent_goals_scored_xg_10game_form,opponent_goals_conceded_xg_10game_form,team_goals_scored_actual_10game_form,team_goals_conceded_actual_10game_form,opponent_goals_scored_actual_10game_form,opponent_goals_conceded_actual_10game_form,elodiff,home
6,Sat,23/09/2017,Watford,Swansea City,1.2,1.7,2017-2018,51,15:00,2,1,6,1635.701538,1660.233643,0.5,1.566666667,0.7,1,0.666666667,2,0.666666667,0.333333333,1.2,1.66,0.56,1.6,1.4,1.8,0.4,1,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-24.532105,0
6,Sat,23/09/2017,Swansea City,Watford,1.7,1.2,2017-2018,51,15:00,1,2,6,1660.233643,1635.701538,0.7,1,0.5,1.566666667,0.666666667,0.333333333,0.666666667,2,0.56,1.6,1.2,1.66,0.4,1,1.4,1.8,1,1.48,1.48,1,0.9,1.7,1.7,0.9,24.532105,1
6,Sat,23/09/2017,Burnley,Huddersfield,0.3,0.3,2017-2018,52,15:00,0,0,6,1661.930664,1518.883423,0.466666667,2.166666667,0.833333333,1.233333333,1,0.666666667,0.333333333,1,0.66,1.78,0.86,1.1,1.2,1,1,0.6,1,1.48,1.48,1,0.9,1.7,1.7,0.9,143.047241,1
6,Sat,23/09/2017,Huddersfield,Burnley,0.3,0.3,2017-2018,52,15:00,0,0,6,1518.883423,1661.930664,0.833333333,1.233333333,0.466666667,2.166666667,0.333333333,1,1,0.666666667,0.86,1.1,0.66,1.78,1,0.6,1.2,1,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-143.047241,0
6,Sat,23/09/2017,Crystal Palace,Manchester City,0.6,4.5,2017-2018,53,15:00,0,5,6,1598.233276,1908.661133,1.633333333,0.666666667,2.366666667,0.566666667,0,1.333333333,4.333333333,0.333333333,1.34,1.2,2.02,0.52,0,1.6,3.2,0.4,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-310.427857,0
6,Sat,23/09/2017,Manchester City,Crystal Palace,4.5,0.6,2017-2018,53,15:00,5,0,6,1908.661133,1598.233276,2.366666667,0.566666667,1.633333333,0.666666667,4.333333333,0.333333333,0,1.333333333,2.02,0.52,1.34,1.2,3.2,0.4,0,1.6,1,1.48,1.48,1,0.9,1.7,1.7,0.9,310.427857,1
6,Sat,23/09/2017,Leicester City,Liverpool,2.8,1.7,2017-2018,54,17:30,2,3,6,1713.512451,1844.431396,1.2,1.433333333,2,1.066666667,0.666666667,1.666666667,1.666666667,2,1.42,1.4,2.22,1.2,1.4,1.8,1.8,1.8,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-130.918945,1
6,Sat,23/09/2017,Liverpool,Leicester City,1.7,2.8,2017-2018,54,17:30,3,2,6,1844.431396,1713.512451,2,1.066666667,1.2,1.433333333,1.666666667,2,0.666666667,1.666666667,2.22,1.2,1.42,1.4,1.8,1.8,1.4,1.8,1,1.48,1.48,1,0.9,1.7,1.7,0.9,130.918945,0
6,Sat,23/09/2017,Manchester Utd,Southampton,1.2,1,2017-2018,55,15:00,1,0,6,1890.812622,1690.452026,2.6,1.066666667,0.666666667,1.366666667,2.666666667,0.666666667,0.333333333,0.666666667,2.58,0.82,1.22,1.28,3.2,0.4,0.8,0.8,1,1.48,1.48,1,0.9,1.7,1.7,0.9,200.360596,0
6,Sat,23/09/2017,Southampton,Manchester Utd,1,1.2,2017-2018,55,15:00,0,1,6,1690.452026,1890.812622,0.666666667,1.366666667,2.6,1.066666667,0.333333333,0.666666667,2.666666667,0.666666667,1.22,1.28,2.58,0.82,0.8,0.8,3.2,0.4,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-200.360596,1
6,Sat,23/09/2017,Tottenham,West Ham,1.2,0.6,2017-2018,56,12:30,3,2,6,1894.900269,1663.244995,1.733333333,0.666666667,0.866666667,1.133333333,1.333333333,0.333333333,0.666666667,1,1.68,0.7,1.02,1.52,1.4,0.6,0.8,2,1,1.48,1.48,1,0.9,1.7,1.7,0.9,231.655274,0
6,Sat,23/09/2017,West Ham,Tottenham,0.6,1.2,2017-2018,56,12:30,2,3,6,1663.244995,1894.900269,0.866666667,1.133333333,1.733333333,0.666666667,0.666666667,1,1.333333333,0.333333333,1.02,1.52,1.68,0.7,0.8,2,1.4,0.6,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-231.655274,1
6,Sat,23/09/2017,Stoke City,Chelsea,0.8,1.4,2017-2018,57,15:00,0,4,6,1675.667969,1918.352417,1.066666667,1.633333333,0.866666667,1.066666667,1.333333333,1.666666667,1.333333333,0.333333333,0.86,1.4,0.96,0.9,1,1.2,1.6,1,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-242.684448,1
6,Sat,23/09/2017,Chelsea,Stoke City,1.4,0.8,2017-2018,57,15:00,4,0,6,1918.352417,1675.667969,0.866666667,1.066666667,1.066666667,1.633333333,1.333333333,0.333333333,1.333333333,1.666666667,0.96,0.9,0.86,1.4,1.6,1,1,1.2,1,1.48,1.48,1,0.9,1.7,1.7,0.9,242.684448,0
6,Sat,23/09/2017,Bournemouth,Everton,0.3,2,2017-2018,58,15:00,1,2,6,1637.314453,1737.577026,0.766666667,1.5,0.8,1.9,1,2,0,3,0.76,1.64,0.72,1.44,0.6,1.8,0.4,2,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-100.262573,0
6,Sat,23/09/2017,Everton,Bournemouth,2,0.3,2017-2018,58,15:00,2,1,6,1737.577026,1637.314453,0.8,1.9,0.766666667,1.5,0,3,1,2,0.72,1.44,0.76,1.64,0.4,2,0.6,1.8,1,1.48,1.48,1,0.9,1.7,1.7,0.9,100.262573,1
6,Sun,24/09/2017,Brighton,Newcastle Utd,1,1.5,2017-2018,59,16:00,1,0,6,1591.984009,1647.846069,0.8,0.833333333,1.766666667,0.833333333,1.333333333,1,2,0.333333333,0.58,1.28,1.36,1.06,0.8,1.4,1.2,0.8,1,1.48,1.48,1,0.9,1.7,1.7,0.9,-55.86206,1
